Name                     Input Size (N)      Numeric Result                Time (seconds)
Constant                 1073741824          1                             2.6e-06
LogN                     1073741824          30                            2e-07
Linear                   1073741824          1073741824                    2e-07
N logN                   1073741824          32212254720                   11.6164
N Squared - Triangular   1073741824          576460752840294400            0.438928
N Squared                1073741824          1152921504606846976           0.220919

Name                     Input Size (N)      Numeric Result                Time (seconds)
Constant                 4294967296          1                             5.4e-06
LogN                     4294967296          31                            2e-07
Linear                   4294967296          4294967296                    2e-07
N logN                   4294967296          133143986176                  49.7292
N Squared - Triangular   4294967296          9223372039002259456           1.75521
N Squared                4294967296          0                             0.887035
